source,target
vim-sroberge,vimaec/g3d
vim-sroberge,vimaec/g3d
vim-sroberge,vimaec/g3d
vim-sroberge,vimaec/g3d
mavimaec,vimaec/g3d
mavimaec,vimaec/g3d
mavimaec,vimaec/g3d
mavimaec,vimaec/g3d
raisjn,fsniper/ReBook
fsniper,fsniper/ReBook
fsniper,fsniper/ReBook
fsniper,fsniper/ReBook
jbouzak,IBM/IBM-Z-zOS
AnthonyGiorgio,IBM/IBM-Z-zOS
duckspike,duckspike/twat
prabhat0208,prabhat0208/cbl
pauloandredias,gotocobol/gtclab
gotocobol,gotocobol/gtclab
raisjn,rmkit-dev/rmkit
ijmitch,walmartlabs/zECS
ShellShockQ,ShellShockQ/MARBLE
ShellShockQ,ShellShockQ/MARBLE
ShellShockQ,ShellShockQ/MARBLE
ShellShockQ,ShellShockQ/MARBLE
bilalyahya,bilalyahya/example
ericpamb,ericpamb/MySQLProj
eric20pamb,ericpamb/MySQLProj
amiclat,ericpamb/MySQLProj
ericpamb,ericpamb/MySQLProj
eric20pamb,ericpamb/MySQLProj
eric20pamb,ericpamb/MySQLProj
ericpamb,ericpamb/MySQLProj
bdbaddog,pottmi/sconssample
pottmi,pottmi/sconssample
bdbaddog,pottmi/sconssample
DamieFC,shateq/hello-world
shateq,shateq/hello-world
ursinn,ursinn/cobol-hello
ursinn,ursinn/cobol-hello
ClaraCastells,Dxngaa/print-dxngaa
Dxngaa,Dxngaa/print-dxngaa
manosing,msingh9999/GitTXXX
manosing,msingh9999/GitTXXX
agarelik,agarelik/primer_repo
agarelik,agarelik/primer_repo
agarelik,agarelik/primer_repo
agarelik,agarelik/primer_repo
clintwallace66,clintwallace66/COBOL
clintwallace66,clintwallace66/COBOL
MrIvanov23,MrIvanov23/OOP-C-hw_1
MrIvanov23,MrIvanov23/OOP-C-hw_1
patpatpatt,eragorn08/ModuleSystem
whitesource-bolt-for-github[bot],kcheung00/COBOL_SAMPLE
writ3it,writ3it/cobol-examples
writ3it,writ3it/cobol-examples
IonicaBizau,IonicaBizau/node-cobol
IonicaBizau,IonicaBizau/node-cobol
IonicaBizau,IonicaBizau/node.cobol
IonicaBizau,IonicaBizau/node.cobol
Motya-cobol,Motya-cobol/TestConnect
yyyxam,kotlin-graphics/assimp
elect86,kotlin-graphics/assimp
afrankel7861,kotlin-graphics/assimp
elect86,kotlin-graphics/assimp
RodrigoDornelles,psywave-games/pong-cobol
RodrigoDornelles,psywave-games/pong-cobol
theAnshulGupta,willdoescode/hello-world
willdoescode,willdoescode/hello-world
KaiDevrim,willdoescode/hello-world
willdoescode,willdoescode/hello-world
KaiDevrim,willdoescode/hello-world
willdoescode,willdoescode/hello-world
willdoescode,willdoescode/hello-world
robtech21,willdoescode/hello-world
Odyssey346,willdoescode/hello-world
willdoescode,willdoescode/hello-world
willdoescode,willdoescode/hello-world
load1n9,willdoescode/hello-world
asxlvm,willdoescode/hello-world
willdoescode,willdoescode/hello-world
prathimacode-hub,chinmayshah99/helloworld
siva517,siva517/sonarqube-scanner
wilbertkho,wilbertkho/DemoHealthCare
wilbertkho,wilbertkho/DemoHealthCare
dragonismcode,willdoescode/hello-world
willdoescode,willdoescode/hello-world
willdoescode,willdoescode/hello-world
dk-raw,willdoescode/hello-world
willdoescode,willdoescode/hello-world
dragonismcode,willdoescode/hello-world
pranavnt,willdoescode/hello-world
pranavnt,willdoescode/hello-world
grkek,willdoescode/hello-world
willdoescode,willdoescode/hello-world
willdoescode,willdoescode/hello-world
geenva,willdoescode/hello-world
grantwiggins,willdoescode/hello-world
willdoescode,willdoescode/hello-world
willdoescode,willdoescode/hello-world
TheRealMichaelWang,willdoescode/hello-world
balu-sn-devops,balu-sn-devops/First_repo
MohanSairam423,balu-sn-devops/First_repo
bhavani-velivala-sn,balu-sn-devops/First_repo
bhavani-velivala-sn,balu-sn-devops/First_repo
velivalab,balu-sn-devops/First_repo
peterceck,peterceck/poc-workspaceNew
peterceck,peterceck/poc-workspaceNew
peterceck,peterceck/poc-workspaceNew
peterceck,peterceck/poc-workspaceNew
peterceck,peterceck/poc-workspaceNew
scmagalit,scmagalit/COBOL-baby-names
scmagalit,scmagalit/COBOL-baby-names
scmagalit,scmagalit/COBOL-baby-names
scmagalit,scmagalit/COBOL-baby-names
dave2030,dave2030/COBOL-Programming-
