sep=,
"Time","gitlab-workhorse"
2022-09-26 15:18:00,
2022-09-26 15:21:00,
2022-09-26 15:24:00,
2022-09-26 15:27:00,
2022-09-26 15:30:00,
2022-09-26 15:33:00,
2022-09-26 15:36:00,
2022-09-26 15:39:00,
2022-09-26 15:42:00,
2022-09-26 15:45:00,
2022-09-26 15:48:00,
2022-09-26 15:51:00,
2022-09-26 15:54:00,
2022-09-26 15:57:00,
2022-09-26 16:00:00,
2022-09-26 16:03:00,
2022-09-26 16:06:00,
2022-09-26 16:09:00,
2022-09-26 16:12:00,
2022-09-26 16:15:00,
2022-09-26 16:18:00,
2022-09-26 16:21:00,
2022-09-26 16:24:00,
2022-09-26 16:27:00,
2022-09-26 16:30:00,
2022-09-26 16:33:00,
2022-09-26 16:36:00,
2022-09-26 16:39:00,
2022-09-26 16:42:00,
2022-09-26 16:45:00,
2022-09-26 16:48:00,
2022-09-26 16:51:00,
2022-09-26 16:54:00,
2022-09-26 16:57:00,
2022-09-26 17:00:00,
2022-09-26 17:03:00,
2022-09-26 17:06:00,
2022-09-26 17:09:00,
2022-09-26 17:12:00,
2022-09-26 17:15:00,
2022-09-26 17:18:00,
2022-09-26 17:21:00,
2022-09-26 17:24:00,
2022-09-26 17:27:00,
2022-09-26 17:30:00,
2022-09-26 17:33:00,
2022-09-26 17:36:00,
2022-09-26 17:39:00,
2022-09-26 17:42:00,
2022-09-26 17:45:00,
2022-09-26 17:48:00,
2022-09-26 17:51:00,
2022-09-26 17:54:00,
2022-09-26 17:57:00,
2022-09-26 18:00:00,
2022-09-26 18:03:00,
2022-09-26 18:06:00,
2022-09-26 18:09:00,
2022-09-26 18:12:00,
2022-09-26 18:15:00,
2022-09-26 18:18:00,
2022-09-26 18:21:00,
2022-09-26 18:24:00,
2022-09-26 18:27:00,
2022-09-26 18:30:00,
2022-09-26 18:33:00,
2022-09-26 18:36:00,
2022-09-26 18:39:00,
2022-09-26 18:42:00,
2022-09-26 18:45:00,
2022-09-26 18:48:00,
2022-09-26 18:51:00,
2022-09-26 18:54:00,
2022-09-26 18:57:00,
2022-09-26 19:00:00,
2022-09-26 19:03:00,
2022-09-26 19:06:00,
2022-09-26 19:09:00,
2022-09-26 19:12:00,
2022-09-26 19:15:00,
2022-09-26 19:18:00,
2022-09-26 19:21:00,
2022-09-26 19:24:00,
2022-09-26 19:27:00,
2022-09-26 19:30:00,
2022-09-26 19:33:00,
2022-09-26 19:36:00,
2022-09-26 19:39:00,
2022-09-26 19:42:00,
2022-09-26 19:45:00,
2022-09-26 19:48:00,
2022-09-26 19:51:00,
2022-09-26 19:54:00,
2022-09-26 19:57:00,
2022-09-26 20:00:00,
2022-09-26 20:03:00,
2022-09-26 20:06:00,
2022-09-26 20:09:00,
2022-09-26 20:12:00,
2022-09-26 20:15:00,
2022-09-26 20:18:00,
2022-09-26 20:21:00,
2022-09-26 20:24:00,
2022-09-26 20:27:00,
2022-09-26 20:30:00,
2022-09-26 20:33:00,
2022-09-26 20:36:00,
2022-09-26 20:39:00,
2022-09-26 20:42:00,
2022-09-26 20:45:00,
2022-09-26 20:48:00,
2022-09-26 20:51:00,
2022-09-26 20:54:00,
2022-09-26 20:57:00,
2022-09-26 21:00:00,
2022-09-26 21:03:00,
2022-09-26 21:06:00,
2022-09-26 21:09:00,
2022-09-26 21:12:00,
2022-09-26 21:15:00,
2022-09-26 21:18:00,
2022-09-26 21:21:00,
2022-09-26 21:24:00,
2022-09-26 21:27:00,
2022-09-26 21:30:00,
2022-09-26 21:33:00,
2022-09-26 21:36:00,
2022-09-26 21:39:00,
2022-09-26 21:42:00,
2022-09-26 21:45:00,
2022-09-26 21:48:00,
2022-09-26 21:51:00,
2022-09-26 21:54:00,
2022-09-26 21:57:00,
2022-09-26 22:00:00,
2022-09-26 22:03:00,
2022-09-26 22:06:00,
2022-09-26 22:09:00,
2022-09-26 22:12:00,
2022-09-26 22:15:00,
2022-09-26 22:18:00,
2022-09-26 22:21:00,
2022-09-26 22:24:00,
2022-09-26 22:27:00,
2022-09-26 22:30:00,
2022-09-26 22:33:00,
2022-09-26 22:36:00,
2022-09-26 22:39:00,
2022-09-26 22:42:00,
2022-09-26 22:45:00,
2022-09-26 22:48:00,
2022-09-26 22:51:00,
2022-09-26 22:54:00,
2022-09-26 22:57:00,
2022-09-26 23:00:00,
2022-09-26 23:03:00,
2022-09-26 23:06:00,
2022-09-26 23:09:00,
2022-09-26 23:12:00,
2022-09-26 23:15:00,
2022-09-26 23:18:00,
2022-09-26 23:21:00,
2022-09-26 23:24:00,
2022-09-26 23:27:00,
2022-09-26 23:30:00,
2022-09-26 23:33:00,
2022-09-26 23:36:00,
2022-09-26 23:39:00,
2022-09-26 23:42:00,
2022-09-26 23:45:00,
2022-09-26 23:48:00,
2022-09-26 23:51:00,
2022-09-26 23:54:00,
2022-09-26 23:57:00,
2022-09-27 00:00:00,
2022-09-27 00:03:00,
2022-09-27 00:06:00,
2022-09-27 00:09:00,
2022-09-27 00:12:00,
2022-09-27 00:15:00,
2022-09-27 00:18:00,
2022-09-27 00:21:00,
2022-09-27 00:24:00,
2022-09-27 00:27:00,
2022-09-27 00:30:00,
2022-09-27 00:33:00,
2022-09-27 00:36:00,
2022-09-27 00:39:00,
2022-09-27 00:42:00,
2022-09-27 00:45:00,
2022-09-27 00:48:00,
2022-09-27 00:51:00,
2022-09-27 00:54:00,
2022-09-27 00:57:00,
2022-09-27 01:00:00,
2022-09-27 01:03:00,
2022-09-27 01:06:00,
2022-09-27 01:09:00,0
2022-09-27 01:12:00,
2022-09-27 01:15:00,0.242
2022-09-27 01:18:00,0.0601
2022-09-27 01:21:00,0
2022-09-27 01:24:00,0
2022-09-27 01:27:00,0
2022-09-27 01:30:00,0
2022-09-27 01:33:00,0
2022-09-27 01:36:00,0
2022-09-27 01:39:00,
2022-09-27 01:42:00,
2022-09-27 01:45:00,
2022-09-27 01:48:00,
2022-09-27 01:51:00,
2022-09-27 01:54:00,
2022-09-27 01:57:00,0
2022-09-27 02:00:00,0.818
2022-09-27 02:03:00,0.830
2022-09-27 02:06:00,0.867
2022-09-27 02:09:00,0.951
2022-09-27 02:12:00,0.0111
2022-09-27 02:15:00,0.0111
2022-09-27 02:18:00,0
2022-09-27 02:21:00,0
2022-09-27 02:24:00,0.00741
2022-09-27 02:27:00,0
2022-09-27 02:30:00,0
2022-09-27 02:33:00,0
2022-09-27 02:36:00,0
2022-09-27 02:39:00,0
2022-09-27 02:42:00,0
2022-09-27 02:45:00,0
2022-09-27 02:48:00,0
2022-09-27 02:51:00,0
2022-09-27 02:54:00,0
2022-09-27 02:57:00,0
2022-09-27 03:00:00,0
2022-09-27 03:03:00,0.00741
2022-09-27 03:06:00,0.0185
2022-09-27 03:09:00,0
2022-09-27 03:12:00,0
2022-09-27 03:15:00,0
2022-09-27 03:18:00,0
2022-09-27 03:21:00,0
2022-09-27 03:24:00,0
