sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-10-27 19:47:00,,,,,,,,,
2022-10-27 19:48:00,,,,,,,,,
2022-10-27 19:49:00,,,,,,,,,
2022-10-27 19:50:00,,,,,,,,,
2022-10-27 19:51:00,,,,,,,,,
2022-10-27 19:52:00,,,,,,,,,
2022-10-27 19:53:00,,,,,,,,,
2022-10-27 19:54:00,,,,,,,,,
2022-10-27 19:55:00,,,,,,,,,
2022-10-27 19:56:00,,,,,,,,,
2022-10-27 19:57:00,,,,,,,,,
2022-10-27 19:58:00,,,,,,,,,
2022-10-27 19:59:00,,,,,,,,,
2022-10-27 20:00:00,,,,,,,,,
2022-10-27 20:01:00,,,,,,,,,
2022-10-27 20:02:00,,,,,,,,,
2022-10-27 20:03:00,,,,,,,,,
2022-10-27 20:04:00,,,,,,,,,
2022-10-27 20:05:00,,,,,,,,,
2022-10-27 20:06:00,,,,,,,,,
2022-10-27 20:07:00,,,,,,,,,
2022-10-27 20:08:00,,,,,,,,,
2022-10-27 20:09:00,,,,,,,,,
2022-10-27 20:10:00,,,,,,,,,
2022-10-27 20:11:00,,,,,,,,,
2022-10-27 20:12:00,,,,,,,,,
2022-10-27 20:13:00,,,,,,,,,
2022-10-27 20:14:00,,,,,,,,,
2022-10-27 20:15:00,,,,,,,,,
2022-10-27 20:16:00,,,,,,,,,
2022-10-27 20:17:00,,,,,,,,,
2022-10-27 20:18:00,,,,,,,,,
2022-10-27 20:19:00,,,,,,,,,
2022-10-27 20:20:00,,,,,,,,,
2022-10-27 20:21:00,,,,,,,,,
2022-10-27 20:22:00,,,,,,,,,
2022-10-27 20:23:00,,,,,,,,,
2022-10-27 20:24:00,,,,,,,,,
2022-10-27 20:25:00,,,,,,,,,
2022-10-27 20:26:00,,,,,,,,,
2022-10-27 20:27:00,,,,,,,,,
2022-10-27 20:28:00,,,,,,,,,
2022-10-27 20:29:00,,,,,,,,,
2022-10-27 20:30:00,,,,,,,,,
2022-10-27 20:31:00,,,,,,,,,
2022-10-27 20:32:00,,,,,,,,,
2022-10-27 20:33:00,,,,,,,,,
2022-10-27 20:34:00,,,,,,,,,
2022-10-27 20:35:00,,,,,,,,,
2022-10-27 20:36:00,,,,,,,,,
2022-10-27 20:37:00,,,,,,,,,
2022-10-27 20:38:00,,,,,,,,,
2022-10-27 20:39:00,,,,,,,,,
2022-10-27 20:40:00,,,,,,,,,
2022-10-27 20:41:00,,,,,,,,,
2022-10-27 20:42:00,,,,,,,,,
2022-10-27 20:43:00,,,,,,,,,
2022-10-27 20:44:00,,,,,,,,,
2022-10-27 20:45:00,,,,,,,,,
2022-10-27 20:46:00,,,,,,,,,
2022-10-27 20:47:00,,,,,,,,,
2022-10-27 20:48:00,,,,,,,,,
2022-10-27 20:49:00,,,,,,,,,
2022-10-27 20:50:00,,,,,,,,,
2022-10-27 20:51:00,,,,,,,,,
2022-10-27 20:52:00,,,,,,,,,
2022-10-27 20:53:00,,,,,,,,,
2022-10-27 20:54:00,,,,,,,,,
2022-10-27 20:55:00,,,,,,,,,
2022-10-27 20:56:00,,,,,,,,,
2022-10-27 20:57:00,,,,,,,,,
2022-10-27 20:58:00,,,,,,,,,
2022-10-27 20:59:00,,,,,,,,,
2022-10-27 21:00:00,,,,,,,,,
2022-10-27 21:01:00,,,,,,,,,
2022-10-27 21:02:00,,,,,,,,,
2022-10-27 21:03:00,,,,,,,,,
2022-10-27 21:04:00,,,,,,,,,
2022-10-27 21:05:00,,,,,,,,,
2022-10-27 21:06:00,,,,,,,,,
2022-10-27 21:07:00,,,,,,,,,
2022-10-27 21:08:00,,,,,,,,,
2022-10-27 21:09:00,,,,,,,,,
2022-10-27 21:10:00,,,,,,,,,
2022-10-27 21:11:00,,,,,,,,,
2022-10-27 21:12:00,,,,,,,,,
2022-10-27 21:13:00,,,,,,,,,
2022-10-27 21:14:00,,,,,,,,,
2022-10-27 21:15:00,,,,,,,,,
2022-10-27 21:16:00,,,,,,,,,
2022-10-27 21:17:00,,,,,,,,,
2022-10-27 21:18:00,,,,,,,,,
2022-10-27 21:19:00,,,,,,,,,
2022-10-27 21:20:00,,,,,,,,,
2022-10-27 21:21:00,,,,,,,,,
2022-10-27 21:22:00,,,,,,,,,
2022-10-27 21:23:00,,,,,,,,,
2022-10-27 21:24:00,,,,,,,,,
2022-10-27 21:25:00,,,,,,,,,
2022-10-27 21:26:00,,,,,,,,,
2022-10-27 21:27:00,,,,,,,,,
2022-10-27 21:28:00,,,,,,,,,
2022-10-27 21:29:00,,,,,,,,,
2022-10-27 21:30:00,,,,,,,,,
2022-10-27 21:31:00,,,,,,,,,
2022-10-27 21:32:00,,,,,,,,,
2022-10-27 21:33:00,,,,,,,,,
2022-10-27 21:34:00,,,,,,,,,
2022-10-27 21:35:00,,,,,,,,,
2022-10-27 21:36:00,,,,,,,,,
2022-10-27 21:37:00,,,,,,,,,
2022-10-27 21:38:00,,,,,,,,,
2022-10-27 21:39:00,,,,,,,,,
2022-10-27 21:40:00,,,,,,,,,
2022-10-27 21:41:00,,,,,,,,,
2022-10-27 21:42:00,,,,,,,,,
2022-10-27 21:43:00,,,,,,,,,
2022-10-27 21:44:00,,,,,,,,,
2022-10-27 21:45:00,,,,,,,,,
2022-10-27 21:46:00,,,,,,,,,
2022-10-27 21:47:00,,,,,,,,,
2022-10-27 21:48:00,,,,,,,,,
2022-10-27 21:49:00,,,,,,,,,
2022-10-27 21:50:00,,,,,,,,,
2022-10-27 21:51:00,,,,,,,,,
2022-10-27 21:52:00,,,,,,,,,
2022-10-27 21:53:00,,,,,,,,,
2022-10-27 21:54:00,,,,,,,,,
2022-10-27 21:55:00,,,,,,,,,
2022-10-27 21:56:00,,,,,,,,,
2022-10-27 21:57:00,,,,,,,,,
2022-10-27 21:58:00,,,,,,,,,
2022-10-27 21:59:00,,,,,,,,,
2022-10-27 22:00:00,,,,,,,,,
2022-10-27 22:01:00,,,,,,,,,
2022-10-27 22:02:00,,,,,,,,,
2022-10-27 22:03:00,,,,,,,,,
2022-10-27 22:04:00,,,,,,,,,
2022-10-27 22:05:00,,,,,,,,,
2022-10-27 22:06:00,,,,,,,,,
2022-10-27 22:07:00,,,,,,,,,
2022-10-27 22:08:00,,,,,,,,,
2022-10-27 22:09:00,,,,,,,,,
2022-10-27 22:10:00,,,,,,,,,
2022-10-27 22:11:00,,,,,,,,,
2022-10-27 22:12:00,,,,,,,,,
2022-10-27 22:13:00,,,,,,,,,
2022-10-27 22:14:00,,,,,,,,,
2022-10-27 22:15:00,,,,,,,,,
2022-10-27 22:16:00,,,,,,,,,
2022-10-27 22:17:00,,,,,,,,,
2022-10-27 22:18:00,,,,,,,,,
2022-10-27 22:19:00,,,,,,,,,
2022-10-27 22:20:00,,,,,,,,,
2022-10-27 22:21:00,,,,,,,,,
2022-10-27 22:22:00,,,,,,,,,
2022-10-27 22:23:00,,,,,,,,,
2022-10-27 22:24:00,,,,,,,,,
2022-10-27 22:25:00,,,,,,,,,
2022-10-27 22:26:00,,,,,,,,,
2022-10-27 22:27:00,,,,,,,,,
2022-10-27 22:28:00,,,,,,,,,
2022-10-27 22:29:00,,,,,,,,,
2022-10-27 22:30:00,,,,,,,,,
2022-10-27 22:31:00,,,,,,,,,
2022-10-27 22:32:00,,,,,,,,,
2022-10-27 22:33:00,,,,,,,,,
2022-10-27 22:34:00,,,,,,,,,
2022-10-27 22:35:00,,,,,,,,,
2022-10-27 22:36:00,,,,,,,,,
2022-10-27 22:37:00,,,,,,,,,
2022-10-27 22:38:00,,,,,,,,,
2022-10-27 22:39:00,,,,,,,,,
2022-10-27 22:40:00,,,,,,,,,
2022-10-27 22:41:00,,,,,,,,,
2022-10-27 22:42:00,,,,,,,,,
2022-10-27 22:43:00,,,,,,,,,
2022-10-27 22:44:00,0.0769,0.459,0.660,,,,0.00710,0.459,0.00858
2022-10-27 22:45:00,0.0714,0.281,0.660,0.664,0.00100,0.00186,0.00760,0.281,0.0142
2022-10-27 22:46:00,0.143,0.164,0.660,0.665,0.00100,0.00186,0.00690,0.164,0.0148
2022-10-27 22:47:00,0.0714,0.0967,0.661,0.669,0.00100,0.00186,0.00660,0.0967,0.0234
2022-10-27 22:48:00,0.143,0.0558,0.661,0.672,0.00100,0.00186,0.00610,0.0558,0.0283
2022-10-27 22:49:00,0.200,0.0526,0.661,0.672,0.00100,0.00186,0.00610,0.0526,0.0285
2022-10-27 22:50:00,0.0357,0.0522,0.661,0.678,0.00100,0.00186,0.00680,0.0522,0.0272
2022-10-27 22:51:00,0.0357,0.0481,0.661,0.677,0.00100,0.00178,0.00620,0.0481,0.0291
